HR,Name,RAJ2000,DEJ2000,Vmag,B-V
352," 83Tau Psc",17.915,30.089722222222218,4.51,1.09
356," ",18.247916666666665,30.06416666666666,6.19,1.0
274," 68    Psc",14.459166666666665,28.992222222222217,5.42,1.08
303," ",16.115,29.658611111111107,6.19,0.43
349," 82    Psc",17.778333333333332,31.42472222222222,5.16,0.23
327," 78    Psc",17.005416666666665,32.01222222222222,6.25,0.4
371," ",19.07833333333333,33.11472222222222,6.02,1.15
291," 69Sig Psc",15.704583333333332,31.80444444444444,5.5,-0.05
415," ",21.77583333333333,34.3775,6.27,0.46
410," ",21.536249999999995,34.579722222222216,6.31,0.47
438," ",23.031666666666663,34.8,6.39,-0.12
490," ",25.51458333333333,35.24555555555555,5.64,-0.07
396," ",20.906249999999996,34.24583333333333,6.29,0.83
337," 43Bet And",17.432916666666664,35.62055555555555,2.06,1.58
379," ",19.69583333333333,37.386111111111106,6.46,0.23
446," ",23.569166666666664,37.237222222222215,5.88,-0.07
395," 47    And",20.919166666666662,37.714999999999996,5.58,0.26
634,"  5    Tri",32.854166666666664,31.526388888888885,6.23,0.11
655,"  7    Tri",33.98416666666666,33.358888888888885,5.28,-0.01
664,"  9Gam Tri",34.32874999999999,33.847222222222214,4.01,0.02
660,"  8Del Tri",34.26333333333333,34.22416666666666,4.87,0.61
726," ",37.56916666666666,33.833888888888886,6.25,1.07
738," ",38.21874999999999,34.5425,5.83,1.07
736," 14    Tri",38.02583333333333,36.14722222222222,5.15,1.47
599,"  3Eps Tri",30.741666666666664,33.28388888888888,5.5,0.03
622,"  4Bet Tri",32.38583333333333,34.987222222222215,3.0,0.14
620," 58    And",32.12208333333333,37.85916666666666,4.82,0.12
628," 59    And",32.72,39.03944444444444,5.63,-0.02
629," 59    And",32.723749999999995,39.04305555555555,6.1,-0.07
748," ",38.91166666666666,37.31222222222222,5.71,1.39
768," ",39.57416666666666,37.72666666666666,6.18,0.47
769," ",39.61583333333333,38.08944444444444,6.3,-0.03
756," ",39.23833333333333,38.73277777777777,5.9,0.48
746," ",38.866249999999994,39.66444444444444,6.36,-0.1
788," 12    Per",40.56208333333333,40.193888888888885,4.91,0.59
687," ",35.70958333333333,41.396388888888886,5.82,0.27
800," 14    Per",41.02166666666666,44.296944444444435,5.43,0.9
557," 56    And",29.038749999999997,37.25166666666666,5.67,1.06
556," ",28.976666666666663,37.27777777777777,5.89,1.63
